Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
09/21/2021,38,LA,4184,4429465,11120,1442,2423801,3479,Report,4184,11120,2697,2069667,7100
09/21/2021,38,DC,970,981811,1457,460,539951,758,Report,970,1457,391,418395,572
09/21/2021,38,AZ,0,8095514,7223,0,4350568,3202,Admin,0,7224,0,3729321,3596
09/21/2021,38,OK,0,4061007,5782,0,2245017,2253,Admin,0,5783,0,1871621,3147
09/21/2021,38,WI,0,6692953,6459,0,3544450,3000,Admin,0,6459,0,3267090,3165
09/21/2021,38,PR,2533,4600125,17481,787,2490761,5211,Report,2533,17481,1643,2204469,9839
09/21/2021,38,MH,0,40063,5,0,22436,1,Admin,0,6,0,19512,4
09/21/2021,38,ND,0,728525,842,0,401389,393,Admin,0,842,0,346593,434
09/21/2021,38,CO,6247,7064816,10876,2358,3764108,4091,Report,6247,10876,3297,3379989,4727
09/21/2021,38,RP,0,30549,76,0,17466,19,Admin,0,77,0,15146,35
09/21/2021,38,HI,1669,1846601,2522,762,1069941,1207,Report,1669,2522,825,808398,1238
09/21/2021,38,CT,0,4968660,3948,0,2688390,1627,Admin,0,3948,0,2424295,2087
09/21/2021,38,SD,0,939183,939,0,515648,428,Admin,0,940,0,448834,473
09/21/2021,38,OR,0,5155641,4491,0,2781814,1889,Admin,0,4491,0,2526252,2515
09/21/2021,38,KS,0,3035260,2787,0,1677108,1097,Admin,0,2787,0,1419405,1565
09/21/2021,38,RI,0,1438806,1112,0,773414,471,Admin,0,1112,0,703933,582
09/21/2021,38,VI,0,100337,120,0,54802,41,Admin,0,120,0,46478,74
09/21/2021,38,TN,0,6722062,10009,0,3635245,3874,Admin,0,10010,0,3096969,5484
09/21/2021,38,VA,12331,10709314,27634,5018,5782296,12766,Report,12331,27634,6083,5100364,13408
09/21/2021,38,IL,14361,15109167,20594,6313,8516831,9594,Report,14361,20594,7497,6695930,9749
09/21/2021,38,VI,274,100337,214,78,54802,91,Report,274,214,163,45716,116
09/21/2021,38,NM,2314,2742042,4546,858,1490400,1691,Report,2314,4546,1218,1306182,2459
09/21/2021,38,IL,0,15109167,11542,0,8516831,5301,Admin,0,11542,0,6622932,5673
09/21/2021,38,AR,2613,2961119,6366,962,1665863,2295,Report,2613,6366,1550,1349836,3768
09/21/2021,38,WA,47829,9916228,19699,20270,5379002,9299,Report,47829,19699,24638,4764888,9477
09/21/2021,38,DC,0,983821,734,0,540979,377,Admin,0,734,0,454531,291
09/21/2021,38,IA,3170,3408429,4842,1045,1821773,1978,Report,3170,4842,2106,1685496,2581
09/21/2021,38,AS,0,59272,115,0,32756,76,Admin,0,115,0,26821,39
09/21/2021,38,MA,6968,9690737,9882,3093,5290843,4576,Report,6968,9882,3189,4643212,4538
09/21/2021,38,PA,16763,15934159,22456,8277,9145831,11089,Report,16763,22456,8261,7302523,10910
09/21/2021,38,MA,6968,9690737,9882,3093,5290843,4576,Report,6968,9882,3189,4643212,4538
09/21/2021,38,NE,0,2138484,1847,0,1133739,662,Admin,0,1847,0,1041548,1040
09/21/2021,38,AS,445,59272,116,311,32756,76,Report,445,116,134,26941,39
09/21/2021,38,NE,8169,2138484,3289,2901,1133739,1244,Report,8169,3289,4548,1044528,1730
09/21/2021,38,IN,5956,6639834,11846,2427,3503076,5235,Report,5956,11846,3292,3219583,6039
09/21/2021,38,NV,6017,3342913,6408,2796,1872304,3068,Report,6017,6408,2912,1540844,3201
09/21/2021,38,NC,13998,11046270,23929,6987,6199597,11653,Report,13998,23929,6643,5120552,11789
09/21/2021,38,WV,0,1535555,742,0,851285,335,Admin,0,742,0,712440,267
09/21/2021,38,NM,0,2742042,2651,0,1490400,931,Admin,0,2652,0,1296992,1511
09/21/2021,38,MS,19478,2724278,8825,6316,1471202,3005,Report,19478,8825,11797,1265761,5171
09/21/2021,38,OH,9185,11922040,7718,3331,6356652,5269,Report,9185,7718,5371,5813299,6852
09/21/2021,38,CA,29619,49800281,84684,11738,28004314,36035,Report,29619,84684,15264,22947662,43887
09/21/2021,38,NV,0,3342913,3879,0,1872304,1797,Admin,0,3879,0,1554594,1988
09/21/2021,38,MD,0,7858139,7131,0,4204324,2837,Admin,0,7132,0,3819802,3494
09/21/2021,38,MI,12632,10480280,18242,5116,5512272,8208,Report,12632,18242,5675,5176433,8172
09/21/2021,38,FM,347,70354,217,159,43463,99,Report,347,217,213,36889,151
09/21/2021,38,AK,647,769981,1666,127,418661,609,Report,647,1666,478,360740,874
09/21/2021,38,FL,40731,26297176,58037,14315,14410051,20937,Report,40731,58037,22551,12081811,29892
09/21/2021,38,MP,0,69273,81,0,35542,20,Admin,0,81,0,33736,48
09/21/2021,38,MP,299,69273,101,80,35542,27,Report,299,101,180,33771,56
09/21/2021,38,NH,0,1729922,956,0,925948,522,Admin,0,957,0,820774,457
